year,month,region,province,thai_visitors,foreign_visitors,income_from_thai_visitors,income_from_foreign_visitors
2563,มีนาคม,ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,48153.00,1918.00,74.43,4.21
2563,มีนาคม,ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,16497.00,145.00,20.60,0.31
2563,มีนาคม,ภาคตะวันออกเฉียงเหนือ,เลย,22868.00,137.00,44.98,0.47
2563,มีนาคม,ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,40968.00,186.00,54.22,0.47
2563,มีนาคม,ภาคตะวันออกเฉียงเหนือ,สุรินทร์,26196.00,393.00,59.99,1.22
2563,มีนาคม,ภาคตะวันออกเฉียงเหนือ,หนองคาย,26849.00,6462.00,58.51,8.74
2563,มีนาคม,ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,13279.00,26.00,24.79,0.06
2563,มีนาคม,ภาคตะวันออกเฉียงเหนือ,อุดรธานี,37282.00,3324.00,91.13,15.49
2563,มีนาคม,ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,63244.00,2984.00,167.03,13.26
2563,มีนาคม,ภาคตะวันออกเฉียงเหนือ,สกลนคร,25622.00,26.00,47.06,0.07
2563,มีนาคม,ภาคตะวันออกเฉียงเหนือ,ยโสธร,9682.00,16.00,11.55,0.03
2563,มีนาคม,ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,3117.00,82.00,4.57,0.18
2563,มีนาคม,ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,3688.00,5.00,3.95,0.01
2563,เมษายน,ภาคกลาง,กรุงเทพมหานคร,109420.00,143032.00,434.06,7713.01
2563,เมษายน,ภาคกลาง,ลพบุรี,40.00,0.00,0.07,0.00
2563,เมษายน,ภาคกลาง,พระนครศรีอยุธยา,14.00,4.00,0.02,0.05
2563,เมษายน,ภาคกลาง,สระบุรี,416.00,0.00,0.50,0.00
2563,เมษายน,ภาคกลาง,ชัยนาท,0.00,0.00,0.00,0.00
2563,เมษายน,ภาคกลาง,นครปฐม,637.00,0.00,0.45,0.00
2563,เมษายน,ภาคกลาง,สิงห์บุรี,81.00,0.00,0.07,0.00
2563,เมษายน,ภาคกลาง,อ่างทอง,0.00,0.00,0.00,0.00
2563,เมษายน,ภาคกลาง,นนทบุรี,0.00,0.00,0.00,0.00
2563,เมษายน,ภาคกลาง,ปทุมธานี,163.00,0.00,0.12,0.00
2563,เมษายน,ภาคกลาง,สมุทรปราการ,0.00,0.00,0.00,0.00
2563,เมษายน,ภาคกลาง,สมุทรสาคร,289.00,0.00,0.41,0.00
2563,เมษายน,ภาคกลาง,ฉะเชิงเทรา,0.00,0.00,0.00,0.00
2563,เมษายน,ภาคตะวันตก,ราชบุรี,1726.00,0.00,2.43,0.00
2563,เมษายน,ภาคตะวันตก,กาญจนบุรี,0.00,0.00,0.00,0.00
2563,เมษายน,ภาคตะวันตก,สมุทรสงคราม,0.00,8.00,0.00,0.23
2563,เมษายน,ภาคตะวันตก,สุพรรณบุรี,0.00,0.00,0.00,0.00
2563,เมษายน,ภาคตะวันตก,เพชรบุรี,0.00,109.00,0.00,3.09
2563,เมษายน,ภาคตะวันตก,ประจวบคีรีขันธ์,0.00,419.00,0.00,11.87
2563,เมษายน,ภาคตะวันออก,ชลบุรี,0.00,10275.00,0.00,573.50
2563,เมษายน,ภาคตะวันออก,จันทบุรี,0.00,0.00,0.00,0.00
2563,เมษายน,ภาคตะวันออก,ตราด,0.00,592.00,,32.80
2563,เมษายน,ภาคตะวันออก,นครนายก,0.00,0.00,0.00,0.00
2563,เมษายน,ภาคตะวันออก,ปราจีนบุรี,0.00,20.00,0.00,1.11
2563,เมษายน,ภาคตะวันออก,ระยอง,0.00,0.00,0.00,0.00
2563,เมษายน,ภาคตะวันออก,สระแก้ว,0.00,0.00,0.00,0.00
2563,เมษายน,ภาคใต้,ภูเก็ต,0.00,4281.00,0.00,277.92
2563,เมษายน,ภาคใต้,พัทลุง,154.00,0.00,0.22,0.00
2563,เมษายน,ภาคใต้,ตรัง,0.00,252.00,0.00,16.36
2563,เมษายน,ภาคใต้,ระนอง,300.00,16.00,0.27,1.04
2563,เมษายน,ภาคใต้,ชุมพร,74.00,0.00,0.17,0.00
2563,เมษายน,ภาคใต้,ปัตตานี,0.00,35.00,0.00,2.27
2563,เมษายน,ภาคใต้,ยะลา,0.00,56.00,0.00,3.64
2563,เมษายน,ภาคใต้,นครศรีธรรมราช,152.00,0.00,0.22,0.00
2563,เมษายน,ภาคใต้,นราธิวาส,0.00,25.00,,1.62
2563,เมษายน,ภาคใต้,กระบี่,0.00,391.00,0.00,25.38
2563,เมษายน,ภาคใต้,สงขลา,0.00,528.00,5.24,34.28
2563,เมษายน,ภาคใต้,พังงา,0.00,1479.00,0.00,96.02
2563,เมษายน,ภาคใต้,สุราษฎร์ธานี,563.00,10178.00,0.00,660.75
2563,เมษายน,ภาคใต้,สตูล,,84.00,0.00,5.45
2563,เมษายน,ภาคเหนือ,กำแพงเพชร,556.00,33.00,1.04,0.88
2563,เมษายน,ภาคเหนือ,เชียงราย,1311.00,802.00,7.16,21.30
